"Year","NomCPUE","StdCPUE","SE","CV","LCI95","UCI95","CI_method","SclNomCPUE","sclStdCPUE","SclSE","SclSEmin","SclSEmax","SclLCI95","SclUCI95","mean_sclStdCPUE","Model"
2006,48.7544806172438,137330.119164692,25254.9128164474,0.183899300241345,87831.3996117559,186828.838717628,"normal",1.50251743491723,1.31271176039194,0.241406774154662,1.07130498623728,1.5541185345466,0.839563177424805,1.78586034335907,1,"BPM1"
2007,52.0089480440174,133196.109047826,13184.3400804212,0.0989844236041999,107355.277330273,159036.94076538,"normal",1.60281373565083,1.27319556590382,0.126026529226412,1.1471690366774,1.39922209513023,1.02618810752346,1.52020302428417,1,"BPM1"
2008,58.4141281457851,184904.286265537,23528.6316701603,0.127247627112177,138789.015586514,231019.55694456,"normal",1.80020881923803,1.76746392272886,0.224905590173628,1.54255833255523,1.99236951290248,1.32665706606682,2.20827077939089,1,"BPM1"
2009,28.0612706922157,86516.3075274088,10477.8281132056,0.121108128775447,65980.1417893245,107052.473265493,"normal",0.864793305706426,0.826992469297402,0.100155510467995,0.726836958829407,0.927147979765397,0.630691275926907,1.0232936626679,1,"BPM1"
2010,25.4757881160062,117244.057759026,13448.1144470944,0.114701885145724,90886.237782748,143601.877735303,"normal",0.785113805499513,1.12071302633745,0.128547896828275,0.992165129509177,1.24926092316573,0.868763778265662,1.37266227440924,1,"BPM1"
2011,24.0316408616498,81291.7112089086,10413.3011248694,0.128097944673703,60882.0160439941,101701.406373823,"normal",0.740608020579085,0.777051574522741,0.0995387096018277,0.677512864920913,0.876590284124568,0.581959288635567,0.972143860409914,1,"BPM1"
2012,56.2886516721156,150324.891555756,28676.4387132364,0.190763076004616,94120.1044729429,206529.67863857,"normal",1.73470580456607,1.43692624913719,0.274112471277185,1.16281377786,1.71103872041438,0.899675677720637,1.97417682055374,1,"BPM1"
2013,44.5009806987123,117541.500168226,15695.8020543027,0.133534130769462,86778.2934333233,148304.706903129,"normal",1.3714329129184,1.12355622017557,0.150033103231767,0.973523116943802,1.27358932340734,0.829496741352526,1.41761569899861,1,"BPM1"
2014,36.6902688047993,82518.8301303395,11444.7329706695,0.138692380303894,60087.5656951492,104950.09456553,"normal",1.13072209719147,0.788781364385007,0.10939796496591,0.679383399419097,0.898179329350917,0.574365293069849,1.00319743570016,1,"BPM1"
2015,26.5362822267674,59283.1594623692,10039.4764901556,0.169347865080104,39606.1471180277,78960.1718067108,"normal",0.817796153272946,0.566676131156019,0.0959653930031248,0.470710738152894,0.662641524159144,0.378587417107663,0.754764845204376,1,"BPM1"
2016,39.2602122631946,99580.2411689009,18728.1563261807,0.188071007926315,62873.7292727508,136286.753065051,"normal",1.20992271227555,0.951868056914133,0.179018784876704,0.772849272037429,1.13088684179084,0.60099768599967,1.3027384278286,1,"BPM1"
2017,21.1212329684232,86212.6855859425,15199.9384597327,0.176307446594741,56421.3536376412,116004.017534244,"normal",0.65091495961461,0.824090206518486,0.145293240075007,0.67879696644348,0.969383446593493,0.539320688774342,1.10885972426263,1,"BPM1"
2018,29.728707643843,122647.2571769,22154.306542614,0.18063434154634,79225.6142509169,166068.900102884,"normal",0.916180440995875,1.17236115322126,0.21176868496663,0.960592468254633,1.38412983818789,0.757302157633259,1.58742014880927,1,"BPM1"
2019,16.1872412695043,58069.1809320285,12884.471209845,0.221881400823039,32816.0814008891,83322.2804631679,"normal",0.498859016088867,0.555071947723174,0.12316014131839,0.431911806404783,0.678232089041564,0.313682506408265,0.796461389038082,1,"BPM1"
2020,9.84534085232922,59568.7976655495,16012.4964001381,0.26880677515166,28184.8814187016,90952.7139123974,"normal",0.303414088224243,0.569406490896568,0.153060322568329,0.416346168328238,0.722466813464897,0.269413771200559,0.869399210592576,1,"BPM1"
2021,18.0655266936431,78012.9637085653,18958.8732874177,0.243022087434632,40854.2548777681,115171.672539363,"normal",0.556744087610301,0.745710668177974,0.181224163202885,0.564486504975089,0.926934831380859,0.39051783517191,1.10090350118404,1,"BPM1"
2022,16.6542920783597,124222.981348138,34351.7619745951,0.27653306660161,56894.7650724388,191551.197623836,"normal",0.513252605650546,1.18742319251241,0.328361776779331,0.859061415733082,1.51578496929174,0.543845936125344,1.83100044889948,1,"BPM1"
2006,48.7544806172438,139337.856799097,24841.6703763616,0.178283712316455,90649.0775456123,188026.636052581,"normal",1.50251743491723,1.31993032390173,0.235322078144262,1.08460824575747,1.555252402046,0.85870752597186,1.78115312183161,1,"BPM2"
2007,52.0089480440174,134474.794653552,13000.5780252905,0.0966766899238174,108994.12994578,159955.459361324,"normal",1.60281373565083,1.27386313627319,0.123152871430865,1.15071026484233,1.39701600770406,1.03248794367601,1.51523832887038,1,"BPM2"
2008,58.4141281457851,185470.292396103,22746.6938484813,0.122643327697473,140887.591685721,230052.993106485,"normal",1.80020881923803,1.75693719381311,0.215476624004699,1.54146056980841,1.97241381781781,1.33461077125362,2.1792636163726,1,"BPM2"
2009,28.0612706922157,86591.162525528,10226.1503420077,0.118096928644339,66548.276154701,106634.048896355,"normal",0.864793305706426,0.820267397711897,0.0968710603368598,0.723396337375037,0.917138458048757,0.630403608307445,1.01013118711635,1,"BPM2"
2010,25.4757881160062,122349.126895611,14246.9021419265,0.116444657215103,94425.7118061681,150272.541985053,"normal",0.785113805499513,1.15899818184562,0.13495914599794,1.02403903584768,1.29395732784356,0.89448311630537,1.42351324738586,1,"BPM2"
2011,24.0316408616498,83001.831237452,10542.9341508211,0.127020500555702,62338.0600104653,103665.602464439,"normal",0.740608020579085,0.786266105324489,0.0998719142682991,0.68639419105619,0.886138019592789,0.590520750291551,0.982011460357428,1,"BPM2"
2012,56.2886516721156,150685.39769754,27868.1309944983,0.184942478968241,96064.8646318791,205305.930763201,"normal",1.73470580456607,1.42742417860604,0.263991366130605,1.16343281247543,1.69141554473664,0.910010608760523,1.94483774845155,1,"BPM2"
2013,44.5009806987123,121188.010016164,15790.2523235968,0.130295499707362,90239.6841551138,152136.335877213,"normal",1.3714329129184,1.14799906492231,0.149579111827637,0.998419953094672,1.29757817674994,0.854829392900651,1.44116873694396,1,"BPM2"
2014,36.6902688047993,85925.1131199832,11710.7572515233,0.136290274476226,62972.4506753063,108877.77556466,"normal",1.13072209719147,0.813957993880153,0.110934558398044,0.703023435482108,0.924892552278197,0.59653025477913,1.03138573298118,1,"BPM2"
2015,26.5362822267674,60035.7218968472,9590.91783542368,0.159753518944982,41237.868360734,78833.5754329605,"normal",0.817796153272946,0.568710985437619,0.0908535811863282,0.47785740425129,0.659564566623947,0.390641238445929,0.746780732429308,1,"BPM2"
2016,39.2602122631946,98653.526255276,17545.5856988869,0.17785056819445,64264.8101977966,133042.242312755,"normal",1.20992271227555,0.93453268089178,0.166207168292886,0.768325512598894,1.10073984918467,0.608772617065336,1.26029274471822,1,"BPM2"
2017,21.1212329684232,84283.2041780014,13976.3525743012,0.165826070693563,56890.0564971373,111676.351858866,"normal",0.65091495961461,0.798404393075656,0.132396263328215,0.666008129747442,0.930800656403871,0.538912485264674,1.05789630088664,1,"BPM2"
2018,29.728707643843,123136.790416797,21554.3598213871,0.175044028258568,80891.0214570607,165382.559376533,"normal",0.916180440995875,1.16645962118829,0.204181790893761,0.962277830294529,1.37064141208205,0.766270664737629,1.56664857763895,1,"BPM2"
2019,16.1872412695043,60147.892144649,12721.6201709271,0.211505669065393,35213.9747846337,85081.8095046643,"normal",0.498859016088867,0.569773560353828,0.120510338098407,0.449263222255421,0.690283898452235,0.333577637916205,0.805969482791452,1,"BPM2"
2020,9.84534085232922,56550.5930667662,14167.651445103,0.250530554619932,28782.5064888475,84318.6796446849,"normal",0.303414088224243,0.535696790076764,0.134208413926049,0.401488376150715,0.669905204002813,0.272653132359465,0.798740447794064,1,"BPM2"
2021,18.0655266936431,80720.9652484856,18788.7464511526,0.232761667223808,43895.6988895717,117546.231607399,"normal",0.556744087610301,0.764659743257835,0.177983476699623,0.586676266558212,0.942643219957458,0.41581853908335,1.11350094743232,1,"BPM2"
2022,16.6542920783597,122045.150339607,31070.1627273225,0.254579249080079,61148.7504002561,182941.550278958,"normal",0.513252605650546,1.1561186494397,0.294323817621833,0.861794831817863,1.45044246706153,0.579254567108568,1.73298273177082,1,"BPM2"
2006,48.7544806172438,511836.395731399,114663.307912325,0.22402335759745,287100.441875015,736572.349587782,"linear_trunc",1.50251743491723,1.48272564015167,0.332165176302605,1.15056046384906,1.81489081645427,0.831693857680165,2.13375742262317,1,"BPM3"
2007,52.0089480440174,354935.827826029,51380.5516212928,0.144760116035614,254231.797142494,455639.858509564,"linear_trunc",1.60281373565083,1.02820443586096,0.148842993443567,0.879361442417397,1.17704742930453,0.736477529360442,1.31993134236149,1,"BPM3"
2008,58.4141281457851,463599.753010568,72519.2999259907,0.156426528390186,321464.536971568,605734.969049568,"linear_trunc",1.80020881923803,1.3429901552321,0.210079287645154,1.13291086758695,1.55306944287725,0.931242317549769,1.75473799291443,1,"BPM3"
2009,28.0612706922157,306854.399573634,52731.5579597942,0.171845533363913,203502.445123751,410206.354023517,"linear_trunc",0.864793305706426,0.888918587727663,0.152756688825156,0.736161898902507,1.04167527655282,0.589520979232765,1.18831619622256,1,"BPM3"
2010,25.4757881160062,330661.201287358,50821.4404911932,0.153696412803591,231053.008282174,430269.394292542,"linear_trunc",0.785113805499513,0.957883896965793,0.147223318845967,0.810660578119826,1.10510721581176,0.66933149434324,1.24643629958835,1,"BPM3"
2011,24.0316408616498,211355.499518253,33808.2505859382,0.159959171457558,145092.545989509,277618.453046997,"linear_trunc",0.740608020579085,0.612270289757266,0.0979382482576514,0.514332041499614,0.710208538014917,0.420314850463326,0.804225729051205,1,"BPM3"
2012,56.2886516721156,515158.645264873,118567.285522753,0.230156839281599,282771.035895599,747546.254634147,"linear_trunc",1.73470580456607,1.49234977905102,0.343474508248976,1.14887527080205,1.8358242873,0.819152113275426,2.16554744482662,1,"BPM3"
2013,44.5009806987123,404317.928894962,73046.6059665494,0.180666254811387,261149.212007637,547486.645782287,"linear_trunc",1.3714329129184,1.17125816949559,0.211606826900009,0.959651342595583,1.3828649963956,0.756516409888773,1.58599992910241,1,"BPM3"
2014,36.6902688047993,289242.414977452,54635.6699622298,0.188892317077663,182158.469580265,396326.360374639,"linear_trunc",1.13072209719147,0.837898884258942,0.15827266172446,0.679626222534482,0.996171545983402,0.527690167541709,1.14810760097617,1,"BPM3"
2015,26.5362822267674,217009.665896586,47026.9767060554,0.216704525633737,124838.485250913,309180.846542258,"linear_trunc",0.817796153272946,0.628649698358831,0.136231234672642,0.492418463686189,0.764880933031473,0.361641384831028,0.895658011886634,1,"BPM3"
2016,39.2602122631946,383883.95889513,89748.9325316998,0.233791828108706,207979.283482084,559788.634308177,"linear_trunc",1.20992271227555,1.11206352936934,0.259991365504276,0.852072163865059,1.37205489487361,0.602489816689565,1.62163724204911,1,"BPM3"
2017,21.1212329684232,330602.677020738,70368.4294077325,0.212848940129176,192683.089732934,468522.264308543,"linear_trunc",0.65091495961461,0.957714359528808,0.203848486372199,0.753865873156608,1.16156284590101,0.558178667936293,1.35725005112132,1,"BPM3"
2018,29.728707643843,394846.753264132,85510.0682971545,0.216565205589908,227250.099086149,562443.407442115,"linear_trunc",0.916180440995875,1.14382136533839,0.247711909142637,0.896109456195751,1.39153327448103,0.658314944877161,1.62932778579962,1,"BPM3"
2019,16.1872412695043,262083.540277788,66275.314304441,0.252878583043385,132186.311177011,391980.769378565,"linear_trunc",0.498859016088867,0.759223041331994,0.191991246905924,0.56723179442607,0.951214288237919,0.382927112049446,1.13551897061454,1,"BPM3"
2020,9.84534085232922,241629.09958502,71649.1696254504,0.296525417462145,101199.307596936,382058.891573104,"linear_trunc",0.303414088224243,0.699969100183886,0.207558629642629,0.492410470541257,0.907527729826515,0.293161661403845,1.10677653896393,1,"BPM3"
2021,18.0655266936431,222351.799220768,59023.3550163704,0.265450314426138,106668.149141961,338035.449299576,"linear_trunc",0.556744087610301,0.644125186461929,0.170983233276114,0.473141953185815,0.815108419738043,0.309004207280536,0.979246165643323,1,"BPM3"
2022,16.6542920783597,428024.761542126,117667.477201594,0.274908107600249,197400.744075315,658648.779008937,"linear_trunc",0.513252605650546,1.23993388092581,0.340867876754748,0.899066004171067,1.58080175768056,0.571845118999871,1.90802264285176,1,"BPM3"
2006,48.7544806172438,633574.310033223,150770.731352746,0.237968504980638,338069.106659078,929079.513407368,"normal",1.50251743491723,1.48672037839119,0.353792625770001,1.13292775262119,1.84051300416119,0.793299573886133,2.18014118289625,1,"BPM4"
2007,52.0089480440174,438749.552203393,70233.3425661451,0.160076157829528,301094.730259885,576404.374146902,"normal",1.60281373565083,1.02955231918508,0.164806779539628,0.864745539645456,1.19435909872471,0.70653696687938,1.35256767149079,1,"BPM4"
2008,58.4141281457851,567925.296244201,96127.6405884748,0.169261065186188,379518.58277198,756332.009716422,"normal",1.80020881923803,1.33267100316273,0.225569313538069,1.10710168962466,1.5582403167008,0.890563272610689,1.77477873371476,1,"BPM4"
2009,28.0612706922157,375314.297003886,70369.5730401409,0.187495050420134,237392.468237749,513236.125770023,"normal",0.864793305706426,0.880697662170017,0.165126452573462,0.715571209596555,1.04582411474348,0.55705576223117,1.20433956210886,1,"BPM4"
2010,25.4757881160062,418830.684658784,71134.9432146869,0.169841766184442,279408.757915696,558252.611401872,"normal",0.785113805499513,0.982811493643259,0.16692243990674,0.815889053736519,1.14973393355,0.655649523214497,1.30997346407202,1,"BPM4"
2011,24.0316408616498,263085.568522382,45875.1669228721,0.174373559068746,173171.893568789,352999.243475974,"normal",0.740608020579085,0.6173461735883,0.107648849466064,0.509697324122236,0.724995023054363,0.406358305657641,0.828334041518958,1,"BPM4"
2012,56.2886516721156,627392.418267458,152377.992878921,0.242875094505783,328737.040188273,926047.796346644,"normal",1.73470580456607,1.47221419605452,0.357564161999498,1.11465003405502,1.82977835805402,0.771401316373261,2.17302707573578,1,"BPM4"
2013,44.5009806987123,507843.615962475,99443.0440900812,0.195814303782504,312938.831032888,702748.400892063,"normal",1.3714329129184,1.19168571220587,0.233349108063149,0.958336604142718,1.42503482026902,0.73432986457755,1.64904155983418,1,"BPM4"
2014,36.6902688047993,356107.981572671,71901.2154516924,0.201908463646776,215184.188842699,497031.774302643,"normal",1.13072209719147,0.835628883191433,0.168720543984053,0.66690833920738,1.00434942717549,0.504942693530683,1.16631507285218,1,"BPM4"
2015,26.5362822267674,268424.452946933,61856.5079872726,0.230442894856161,147187.925082464,389660.980811401,"normal",0.817796153272946,0.629874188291798,0.145150031345137,0.484724156946661,0.775024219636934,0.34538535450047,0.914363022083125,1,"BPM4"
2016,39.2602122631946,470084.308570981,116271.245712928,0.247341261116295,242196.854536035,697971.762605926,"normal",1.20992271227555,1.10308121722575,0.272837499382314,0.830243717843433,1.37591871660806,0.568329544804442,1.63783288964705,1,"BPM4"
2017,21.1212329684232,405102.766794828,91337.0517965459,0.225466373678966,226085.434819529,584120.098770128,"normal",0.65091495961461,0.950598105382373,0.214327907646659,0.736270197735713,1.16492601302903,0.530523125513093,1.37067308525165,1,"BPM4"
2018,29.728707643843,486550.683965849,110202.626120341,0.226497731381415,270557.505768248,702543.862163449,"normal",0.916180440995875,1.14172056145122,0.258597117040216,0.883123444411001,1.40031767849143,0.634879525546505,1.64856159735593,1,"BPM4"
2019,16.1872412695043,321563.188559011,85071.7137551257,0.264556755194365,154825.693495864,488300.683622158,"normal",0.498859016088867,0.754567440315031,0.199625913585062,0.554941526729969,0.954193353900093,0.363307839307404,1.14582704132266,1,"BPM4"
2020,9.84534085232922,296676.393254315,90952.840828511,0.306572558169618,118412.10093883,474940.685569801,"normal",0.303414088224243,0.696169072283976,0.213426333408668,0.482742738875308,0.909595405692645,0.277861145450549,1.1144769991174,1,"BPM4"
2021,18.0655266936431,272767.189532524,73705.3817543013,0.270213517544466,128307.295827318,417227.08323773,"normal",0.556744087610301,0.64006468193641,0.172954129162017,0.467110552774393,0.813018811098428,0.301080817801368,0.979048546071453,1,"BPM4"
2022,16.6542920783597,534653.579879571,151658.669057502,0.283657820250006,237408.050583589,831899.109175554,"normal",0.513252605650546,1.25459691152105,0.355876225214451,0.898720686306598,1.6104731367355,0.557092327146661,1.95210149589544,1,"BPM4"
